	ihuman	BLCA	BRCA	CESC	COAD	GBM	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	SKCM	STAD	TGCT	THCA	UCEC
Arachidonic acid metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acyl-CoA hydrolysis	2.545209944644184	388.95054598589456	0.03340092784644341	51.46671912456372	0.017423087593605467	0.9825320398258702	2.2148806826033782	122.43093124592434	0.6433464774302095	0.031017236636948987	79.42994623942896	0.09690014074268731	115.52945665682574	89.23308640203395	105.42829847989626	11.22302640685944	13.651024562289292	38.338626779011136	13.683020692193482	6.399212073360024	132.50490074465608	6.7179375951675455
Acylglycerides metabolism	0.005169541342826252	0.6771347457119444	0.005169539439491499	0.010339078878982999	0.005169539439491502	2.005556539938377	2.010726079377868	71.50325505634218	2.264552963219091	307.8487437132897	282.82536753649185	1.6983260660615045	393.60437558552945	18.726918842573003	5.397039132621895	90.24707140321158	3.00575004018782	199.79529607136794	246.09859223535642	0.005169539439491501	6.433456869378499	3.3966521321230094
Alanine, aspartate and glutamate metabolism	511.68059482127296	-71.60292718723338	1052.6289436139136	399.5585901551708	-126.77524308538574	-1061.1197760817624	43.74343319956529	-42.27880983946105	-968.8597066249456	159.61221275417574	972.4280277256844	-18.97673583368244	280.50543279205283	148.74423913715074	1381.2223461246228	-0.28954464695596016	812.1170141577101	248.23326794607615	268.1525478031787	-194.98920656678186	-42.27880983946119	-188.5573047822136
Alkaloids biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amino sugar and nucleotide sugar metabolism	12.557739946022958	9.418301491861971	9.418301491861973	9.418301491861975	9.41830149186191	9.418301491861977	9.418301491861975	13.421079625903316	9.418301491861977	10.988018407172298	9.418301491861975	12.557735322482635	9.418301491861975	10.98678096622544	9.418301491861982	11.88796431509899	12.557735322482635	12.551241362933627	9.418301491861977	9.418301491861977	9.418301491861973	9.418301491861975
Aminoacyl-tRNA biosynthesis	666.550390338813	666.5501449266111	666.5501449266112	666.5501449266113	666.5501449266114	666.5501449266113	666.5501449266112	666.5501449266112	666.5501449266113	666.5501449266112	666.5501449266112	666.5501449266114	666.5501449266112	666.5501449266114	666.5501449266114	665.9768603851506	666.5501449266113	666.2054530241797	666.5501449266112	666.5501449266114	666.5501449266112	666.5501449266113
Androgen metabolism	999.9999999999999	0.0	0.0	0.0	0.017894120754944794	0.0	1000.0	-999.9999999999991	0.0	0.0	0.0	60.570316785095756	0.0	-0.07424645681227111	2.6020852139652106e-18	0.036050853664402784	-295.03644309930263	0.0	0.0	-8.534023021226817	0.0	999.7484174175551
Arachidonic acid metabolism	0.0	18.54487461445846	0.0	845.2481890340364	112.12570697290587	0.03169187687289216	0.574890060123181	9.0089279254614	31.23575979884464	0.0	0.012074745502387147	0.018112118253580733	434.672073659964	318.4759568893014	0.00603737275119358	712.1870822313505	648.1943313001807	352.5948122900067	45.539095363202684	236.40754052816195	68.42533149215049	9.575849730204329
Arginine and proline metabolism	-30.719194416347932	735.5370748598518	1040.9771442944011	2095.0640861322477	919.6147919358234	730.60868173486	1487.7592227434338	1134.8887742039692	1530.5867027344043	1567.6363687844234	1003.2445023540024	1021.5539828322032	2946.036690726739	1829.5660646316055	2312.0817816030876	1523.339611071956	1864.8581382012374	2352.9502097328154	-492.0097135795663	1722.902741577492	1995.5047510120096	-1097.8902799973937
