	ihuman	BLCA	BRCA	CESC	COAD	GBM	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	SKCM	STAD	TGCT	THCA	UCEC
MAR03905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR03907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR04097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR04099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR04108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR04133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR04281	0.0	207.40240807596663	664.9908350597055	38.95855464616087	0.0	0.5756921426158779	5.2134727290235245	9.953388087631538	2.9723237989116287	0.0	143.21758698138174	70.83409509997288	4.75611905853502	79.39882456372986	0.0	10.81192833639603	-2.1047411371085725e-13	69.36265658002674	110.45285466936447	1.3274587245479876	43.36032385682816	1.1656404108485214
MAR04388	0.0	0.0	0.0	0.0	0.0	0.0	994.7865272709766	0.0	0.0	56.91175854417653	0.0	0.0	1000.0	866.1123886197203	0.0	1000.0	0.0	501.41806044442694	0.0	185.9678166340875	-90.37389257396212	0.0
MAR04283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAR08357	0.0	0.0	1.6277055090435162e-13	236.94251573596134	0.0	0.0	999.9999999999999	902.5068779700457	0.0	944.1755733327037	999.9999999999999	0.0	1000.0	0.0	0.0	0.0	236.09985107685443	0.0	0.0	0.0	0.0	447.80627834100636
